indx;name;lat;lon
28502;Вятские Поляны;56.23;51.03
28533;Нязепетровск;56.04;59.58
28537;Дуван;55.7;57.9
28541;Верхний Уфалей;56.08;60.3
28548;Аргаяш;55.55;60.9
28549;Бродокалмак;55.58;62.06
28552;Шадринск;56.06;63.65
28561;Памятная;56.01;65.69
28573;Ишим;56.1;69.43
28586;Тюкалинск;55.86;72.2
28587;Сладково;55.53;70.33
28588;Называевск;55.56;71.37
28593;Большеречье;56.1;74.63
28598;Саргатское;55.6;73.48
28611;Муслюмово;55.31;53.2
28615;Бакали;55.18;53.8
28630;Златоуст;55.16;59.66
28639;Катав-Ивановск;54.46;58.13
28647;Миасс;55;60.1
28655;Шумиха;55.23;63.31
28659;Куртамыш;54.91;64.43
28662;Лебяжье;55.28;66.5
28666;Макушино;55.25;67.3
28668;Половинное;54.76;66
28674;Петухово;55.06;67.88
28688;Исилькуль;54.9;71.25
28696;Калачинск;55.03;74.58
28704;Чулпаново;54.5;50.41
28711;Бугульма;54.58;52.8
28745;Южноуральск;54.43;61.33
28752;Целинное;54.5;63.66
28756;Звериноголовское;54.46;64.86
28786;Полтавка;54.36;71.75
28791;Щербакуль;54.61;72.58
28797;Одесская;54.2;72.96
28798;Павлоградка;54.2;73.56
28799;Черлак;54.16;74.8
28825;Стерлитамак;53.61;55.98
28895;Русская Поляна;53.78;74.05
28909;Бузулук;52.75;52.28
28925;Мелеуз;52.95;55.96
28939;Кизильское;52.71;58.88
28941;Карталы;53.05;60.66
29016;Прохоркино;59.51;79.46
29023;Напас;59.93;81.98
29037;Березовка;59.33;82.61
29059;Александровский Шлюз;59.41;89.3
29068;Назимово;59.5;91.01
29111;Средний Васюган;59.21;78.23
29122;Каргасок;59.05;80.95
29128;Парабель;58.7;81.5
29149;Степановка;58.68;86.81
29203;Новый Васюган;58.55;76.46
29209;Майск;57.78;77.28
29224;Старица;58.16;80.6
29237;Подгорное;57.8;82.66
29247;Батурино;57.78;85.15
29274;Стрелка;58.08;93
29276;Мотыгино;58.18;94.69
29282;Богучаны;58.41;97.4
29328;Бакчар;57.08;81.91
29332;Молчаново;57.58;83.78
29348;Первомайское;57.06;86.21
29355;Тегульдет;57.28;88.13
29363;Пировское;57.63;92.26
29367;Новобирилюссы;57.04;90.31
29374;Казачинское;57.75;93.18
29379;Тасеево;57.2;94.86
29393;Червянка;57.64;99.53
29405;Кыштовка;56.56;76.63
29418;Северное;56.35;78.35
29456;Тюхтет;56.53;89.31
29464;Большой Улуй;56.65;90.55
29467;Ачинск;56.28;90.51
29471;Большая Мурта;56.9;93.13
29477;Сухобузимское;56.5;93.28
29481;Дзержинское;56.85;95.21
29485;Абан;56.7;96.03
29500;Усть-Тарка;55.56;75.69
29508;Венгерово;55.66;76.75
29524;Крещенка;55.85;80.03
29532;Кожевниково;56.25;84
29539;Болотное;55.66;84.4
29540;Яя;56.2;86.46
29541;Тайга;56.06;85.61
29548;Барзас;55.73;86.3
29551;Мариинск;56.21;87.75
29563;Кача;56.11;92.2
